Zeitstempel,App-Version,Env,Typ,Fehlermeldung,Detail,URL,Gerät / OS,Stacktrace,HTTP Status,Status,Notiz,Fix-Version,Priorität,Bereich,Datei,Fix-Datum,Changelog,Teststatus
03.05 17:26,10.0,PERSONAL,TEST,PERSONAL TEST,Direkter Testeintrag,,test,test,,ignorieren,Alter Testeintrag vor Strukturumbau,,,,,,,
03.05 17:50,V10.0,PERSONAL,FETCH_ERROR,TypeError: Failed to fetch,"Alter Eintrag, genaue Funktion unbekannt",,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko)",no stack,,geprüft,"Bereits am 03.05 geprüft; alter Eintrag, nicht mehr offen.",,,,,,,
10.05.2026 19:03:30,V11.9 [unbekannt],PERSONAL,TEST,Manueller Test V11.9,Konsolentest,https://twfypbgfdz-max.github.io/plateau-brecher/,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,,ignorieren,,,,,,,,
14.05.2026 18:16:57,V12.8-test [unbekannt],PERSONAL,SYNC_ERROR,ReferenceError: Cannot access 'matched' before initialization.,line:,http://192.168.178.101:5500/01_PERSONAL_APP/tests/plateau-brecher-v12_8-test.html,"Mozilla/5.0 (iPhone; CPU iPhone OS 18_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) Version/26.4 Mobile/15E148 Safari/604.1",,,offen,,,,,,,,
14.05.2026 21:32:11,V12.8-test [unbekannt],PERSONAL,ASYNC_ERROR,ReferenceError: day is not defined,,http://127.0.0.1:5500/01_PERSONAL_APP/tests/plateau-brecher-v12_8-test.html,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/148.0.0.0 Safari/537.36",,,offen,,,,,,,,
